fas_id,course_code,department,semester,rating,hours_per_week,num_students,num_sections
109346,PHYSICS 223,PHYSICS,2024Fall,4.86,9.14,12,1
109348,ENGLISH 90KA,ENGLISH,2022Fall,5.0,9.25,16,1
109348,ENGLISH 90KA,ENGLISH,2025Spring,4.89,8.72,20,1
109356,ENG-SCI 177,ENG-SCI,2023Spring,5.0,4.92,22,2
109356,ENG-SCI 177,ENG-SCI,2024Spring,4.64,3.64,22,1
109356,ENG-SCI 177,ENG-SCI,2025Spring,4.75,3.77,22,1
109357,ENG-SCI 277,ENG-SCI,2023Spring,5.0,4.92,22,2
109357,ENG-SCI 277,ENG-SCI,2024Spring,4.64,3.64,22,1
109357,ENG-SCI 277,ENG-SCI,2025Spring,4.75,3.77,22,1
109358,ENG-SCI 157,ENG-SCI,2022Fall,4.78,6.89,11,1
109358,ENG-SCI 157,ENG-SCI,2023Fall,3.92,8.85,16,1
109360,GENED 1064,GENED,2023Spring,3.81,3.85,70,1
109360,GENED 1064,GENED,2025Spring,4.21,4.31,58,1
109375,HAA 96A,HAA,2023Spring,4.29,14.83,10,1
109375,HAA 96A,HAA,2024Spring,4.4,17.8,6,1
109375,HAA 96A,HAA,2025Spring,4.0,16.0,10,1
109394,HBTM 235,HBTM,2022Fall,4.14,5.9,33,4
109394,HBTM 235,HBTM,2023Fall,4.25,8.14,24,1
109394,HBTM 235,HBTM,2024Fall,4.5,9.18,18,2
109409,HIST 1206,HIST,2024Fall,4.88,5.63,11,1
109418,HIST 1281,HIST,2022Fall,4.39,4.5,18,1
109418,HIST 1281,HIST,2024Fall,4.33,4.59,26,1
109422,HIST 1912,HIST,2024Fall,4.8,5.0,13,1
109423,HIST 1412,HIST,2022Fall,4.36,4.43,25,1
109425,ARABIC BA,ARABIC,2022Fall,4.31,8.54,10,2
109425,ARABIC BA,ARABIC,2023Fall,4.7,9.62,10,2
109425,ARABIC BA,ARABIC,2024Fall,4.08,9.41,6,2
109425,ARABIC BA,ARABIC,2025Spring,4.4,7.4,5,1
109427,AFRIKAAN AA,AFRIKAAN,2022Fall,4.61,3.44,32,1
109427,AFRIKAAN AA,AFRIKAAN,2023Fall,4.8,3.75,7,1
109427,AFRIKAAN AA,AFRIKAAN,2024Fall,4.83,3.4,10,1
109436,HIST 1520,HIST,2023Fall,4.29,4.35,22,1
109447,PHIL 144,PHIL,2024Spring,4.57,9.08,24,1
109454,CHEM 105,CHEM,2022Fall,4.58,11.83,30,1
109454,CHEM 105,CHEM,2023Fall,4.63,9.58,30,1
109454,CHEM 105,CHEM,2024Fall,4.27,7.67,20,1
109457,PHYSCI 12B,PHYSCI,2022Fall,3.28,10.17,42,2
109457,PHYSCI 12B,PHYSCI,2023Fall,3.71,8.2,41,3
109457,PHYSCI 12B,PHYSCI,2024Fall,3.5,8.82,67,3
109469,FRSEMR 40P,FYSEMR,2022Fall,4.8,4.0,8,1
109469,FYSEMR 40P,FYSEMR,2023Fall,4.6,5.4,9,1
109474,FRSEMR 31P,FRSEMR,2022Fall,4.27,2.1,12,1
109475,FYSEMR 41E,FYSEMR,2023Fall,4.31,4.77,14,1
109501,GENED 1043,GENED,2023Fall,4.2,4.61,81,1
109521,ISLAMCIV 145B,ISLAMCIV,2022Fall,4.75,5.67,10,1
109527,E-PSCI 110,E-PSCI,2022Fall,4.0,3.57,9,1
109527,E-PSCI 110,E-PSCI,2023Fall,2.8,4.75,7,1
109527,E-PSCI 110,E-PSCI,2024Fall,4.0,5.33,12,1
109554,GOV 1292,GOV,2025Spring,5.0,8.0,14,1
109570,ANTHRO 1936,ANTHRO,2023Fall,4.0,4.0,12,1
109571,ANTHRO 1698,ANTHRO,2023Fall,3.6,4.0,25,1
109571,ANTHRO 1698,ANTHRO,2024Fall,4.38,5.56,17,1
109600,PHIL 34,PHIL,2022Fall,4.44,5.09,120,1
109605,HIST 2277,HIST,2023Spring,4.6,11.0,6,1
109605,HIST 2277,HIST,2025Spring,5.0,22.17,7,1
109607,WOMGEN 1210ST,WOMGEN,2023Spring,4.89,6.11,13,1
109621,HIST 1602,HIST,2022Fall,4.67,4.88,52,1
109621,HIST 1602,HIST,2024Spring,4.53,5.63,34,1
109621,HIST 1602,HIST,2025Spring,4.53,5.29,26,1
109627,FRSEMR 21V,FYSEMR,2022Fall,5.0,3.6,11,1
109627,FYSEMR 21V,FYSEMR,2023Fall,4.64,3.31,15,1
109627,FYSEMR 21V,FYSEMR,2024Fall,4.42,3.3,14,1
109636,MCB 170,MCB,2023Spring,4.5,5.0,17,1
109636,MCB 170,MCB,2024Spring,4.92,4.82,17,1
109652,FOLKMYTH 106,FOLKMYTH,2023Spring,4.14,2.95,33,1
109660,HISTSCI 98,HISTSCI,2022Fall,3.78,4.56,10,1
109660,HISTSCI 98,HISTSCI,2023Spring,4.5,6.0,6,1
109660,HISTSCI 98,HISTSCI,2023Fall,4.28,5.81,43,5
109660,HISTSCI 98,HISTSCI,2024Spring,4.64,6.07,18,3
109660,HISTSCI 98,HISTSCI,2024Fall,4.48,6.33,30,3
109660,HISTSCI 98,HISTSCI,2025Spring,4.78,7.44,14,2
109680,SOCIOL 1181,SOCIOL,2024Spring,4.79,5.04,31,1
109684,ESE 163,ESE,2023Spring,5.0,8.6,7,1
109684,ESE 163,ESE,2024Fall,5.0,9.0,7,1
109705,SOCIOL 1115,SOCIOL,2023Spring,3.0,2.5,10,1
109731,GOV 94GK,GOV,2022Fall,4.8,5.0,12,1
109731,GOV 94GK,GOV,2023Fall,4.9,4.0,13,1
109731,GOV 94GK,GOV,2024Fall,4.58,6.58,14,1
109735,GOV 94KA,GOV,2023Spring,5.0,4.5,8,1
109742,GOV 94AU,GOV,2023Fall,4.73,4.8,11,1
109762,HIST 2950A,HIST,2022Fall,4.5,11.75,11,2
109775,SPANSH 171,SPANSH,2023Spring,4.36,5.07,17,1
109802,ARABIC 243BR,ARABIC,2022Fall,4.57,8.71,8,1
109804,ARABIC 243DR,ARABIC,2024Fall,5.0,8.0,6,1
109817,MATH 112,MATH,2023Spring,3.62,9.95,60,1
109817,MATH 112,MATH,2023Fall,3.4,11.56,64,1
109817,MATH 112,MATH,2024Fall,4.37,9.2,58,1
109817,MATH 112,MATH,2025Spring,3.31,8.74,54,1
109820,SPANSH 49H,SPANSH,2022Fall,4.92,3.58,15,1
109820,SPANSH 49H,SPANSH,2023Fall,5.0,3.43,10,1
109820,SPANSH 49H,SPANSH,2024Fall,4.8,3.8,8,1
109851,MCB 68,MCB,2024Spring,4.41,5.76,23,3
109851,MCB 68,MCB,2025Spring,4.65,6.45,24,3
109860,HISTSCI 2739,HISTSCI,2022Fall,4.8,7.89,17,1
109861,GENED 1069,GENED,2022Fall,3.74,5.03,99,1
109861,GENED 1069,GENED,2024Fall,4.39,5.16,44,1
109866,MBB 980H,MBB,2023Spring,4.83,1.83,14,1
109866,MBB 980H,MBB,2024Spring,4.5,2.09,14,1
109866,MBB 980H,MBB,2025Spring,4.82,3.36,14,1
109873,HIST 2475,HIST,2025Spring,4.75,6.0,7,2
109882,ESPP 77,ESPP,2023Fall,3.54,4.78,34,1
109894,ECON 10B,ECON,2022Fall,4.43,4.5,38,1
109894,ECON 10B,ECON,2023Spring,4.04,4.84,596,5
109894,ECON 10B,ECON,2023Fall,4.49,4.65,70,1
109894,ECON 10B,ECON,2024Spring,4.12,4.39,559,3
109894,ECON 10B,ECON,2024Fall,4.45,5.92,59,1
